MaYTe,HoTen,MaDoiTuong,GioiTinh,NgaySinh,SoBHYT,BHTuNgay,BHDenNgay,DiaChi,SoDienThoai
BN1047,Lê Thu Thảo,DT02,Nữ,09/05/1963,,,,"Lô B4, Phường Nguyễn Du, TP Hà Nội",0779259301
BN1048,Trần Mai Hương,DT01,Nữ,31/12/1955,QN66041361554838,01/01/2025,31/12/2025,"Khu Phố 5, Phường Dương Đông, Tỉnh Hưng Yên",0865009536
BN1049,Trần Gia Khang,DT01,Nam,26/05/1981,CN64043377423682,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, Tỉnh Đồng Nai",0883296501
BN1050,Lê Văn A,DT02,Nam,18/07/1959,,,,"A2, Phường Nguyễn Du, TP HCM",0746645100
BN1051,Đỗ Yến Vy,DT04,Nữ,28/04/1953,,,,"Đường 3/2, Phường Bến Nghé, TP HCM",0875689944
BN1052,Hoàng Minh Hùng,DT01,Nam,23/06/1958,QN80094968292537,17/12/2025,16/12/2026,"Đường 3/2, Phường Lê Lợi, TP Hà Nội",0959301992
BN1053,Đỗ Yến Vy,DT03,Nữ,20/04/1951,BT13098155547683,14/09/2025,13/09/2026,"Lô B4, Phường Lê Lợi, Tỉnh Kiên Giang",0332417335
BN1054,Đặng Minh Hùng,DT01,Nam,26/10/1979,BT74052331476513,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0831385981
BN1055,Phạm Thanh Dũng,DT01,Nam,19/08/1963,GD41005107574568,27/04/2025,26/04/2026,"Lô B4, Phường Nguyễn Du, TP Hà Nội",0925415098
BN1056,Hồ Mỹ Linh,DT03,Nữ,07/02/2012,GD88055921815357,01/01/2025,31/12/2025,"A2, Phường Nguyễn Du, Tỉnh Đồng Nai",0955374007
BN1057,Đỗ Thanh Vân,DT02,Nữ,17/12/1988,,,,"Ngõ 12, Xã Hòa Bắc, TP HCM",0954068929
BN1058,Hồ Thanh Dũng,DT04,Nam,28/07/1980,,,,"Đường 3/2, Phường Lê Lợi, Tỉnh Đồng Nai",0895106678
BN1059,Đặng Mỹ Linh,DT03,Nữ,02/08/1996,QN81024969712341,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, Tỉnh Kiên Giang",0879280216
BN1060,Nguyễn Kim F,DT01,Nữ,03/04/1992,GD34012470042130,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0915708712
BN1061,Hoàng Gia Khang,DT01,Nam,28/08/1989,TE59003705416276,15/03/2025,14/03/2026,"A2, Phường Lê Lợi, TP Đà Nẵng",0323925617
BN1062,Phạm Lệ I,DT01,Nữ,24/01/2017,BT01032890232981,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, TP Hà Nội",0378471952
BN1063,Nguyễn Mai Hương,DT01,Nữ,10/06/1994,QN59079358717905,01/01/2025,31/12/2025,"Khu Phố 5, Phường Dương Đông, Tỉnh Hưng Yên",0316949944
BN1064,Lê Văn A,DT04,Nam,22/07/2005,,,,"A2, Phường Nguyễn Du, Tỉnh Kiên Giang",0923608107
BN1065,Bùi Hoàng Nam,DT01,Nam,06/01/1940,GD02001960623002,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, Tỉnh Đồng Nai",0855562437
BN1066,Hồ Thu Thảo,DT04,Nữ,30/09/1968,,,,"Lô B4, Phường Nguyễn Du, TP HCM",0885302710
BN1067,Đặng Kim F,DT02,Nữ,28/03/1994,,,,"Lô B4, Phường Dương Đông, TP Đà Nẵng",0753214044
BN1068,Trần Gia Khang,DT02,Nam,24/04/1947,,,,"Ngõ 12, Phường Nguyễn Du, Tỉnh Đồng Nai",0711719086
BN1069,Đỗ Mỹ Linh,DT03,Nữ,25/11/2009,BT50011815777157,16/06/2025,15/06/2026,"Ngõ 12, Phường Dương Đông, Tỉnh Đồng Nai",0856785314
BN1070,Đặng Anh Tuấn,DT03,Nam,25/01/1998,BT49082822053664,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, TP Đà Nẵng",0957708705
BN1071,Vũ Hoàng Nam,DT01,Nam,04/02/1998,TE22096292748741,01/01/2025,31/12/2025,"Lô B4, Thị trấn Vĩnh An, TP HCM",0996477697
BN1072,Đỗ Thanh Dũng,DT01,Nam,02/02/2003,BT76087522098761,01/01/2025,31/12/2025,"Ngõ 12, Xã Hòa Bắc, Tỉnh Kiên Giang",0886096600
BN1073,Đỗ Yến Vy,DT01,Nữ,15/12/1971,BT68098761759176,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, TP Hà Nội",0785995543
BN1074,Lê Quang Vinh,DT02,Nam,07/06/1946,,,,"Số 10, Thị trấn Vĩnh An, TP Đà Nẵng",0966654119
BN1075,Đỗ Bảo Long,DT02,Nam,31/05/1981,,,,"A2, Phường Bến Nghé, Tỉnh Đồng Nai",0766596556
BN1076,Đỗ Yến Vy,DT03,Nữ,16/03/1997,TE38080701212005,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, TP Hà Nội",0995510047
BN1077,Đỗ Văn A,DT01,Nam,21/01/1960,QN05067340938856,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0957498713
BN1078,Lê Minh Hùng,DT01,Nam,12/11/1960,QN92049556338772,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, TP Hà Nội",0774471525
BN1079,Đỗ Mỹ Linh,DT04,Nữ,25/01/1984,,,,"A2, Phường Nguyễn Du, TP HCM",0860517252
BN1080,Trần Ngọc Ánh,DT01,Nữ,10/12/1992,CN55017802337129,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0860189943
BN1081,Bùi Thị Bích C,DT01,Nữ,24/08/1952,QN23022155044818,01/01/2025,31/12/2025,"Ngõ 12, Phường Lê Lợi, TP Hà Nội",0876262294
BN1082,Hoàng Kim F,DT01,Nữ,26/01/1953,QN31061691164651,01/01/2025,31/12/2025,"Lô B4, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0348693072
BN1083,Hoàng Anh Tuấn,DT02,Nam,29/04/1958,,,,"A2, Thị trấn Vĩnh An, TP HCM",0890111550
BN1084,Hoàng Kim F,DT02,Nữ,14/09/1962,,,,"Số 10, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0818358714
BN1085,Trần Anh Tuấn,DT01,Nam,29/11/1942,QN24069134925076,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Hưng Yên",0368679106
BN1086,Đặng Yến Vy,DT03,Nữ,26/08/1981,BT42050280987798,01/01/2025,31/12/2025,"Số 10, Xã Hòa Bắc, Tỉnh Kiên Giang",0379274710
BN1087,Vũ Xuân Bách,DT04,Nam,27/03/1972,,,,"Lô B4, Thị trấn Vĩnh An, TP Hà Nội",0953829949
BN1088,Nguyễn Quang Vinh,DT01,Nam,13/04/1964,BT55076861618859,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, Tỉnh Đồng Nai",0821607501
BN1089,Trần Lệ I,DT01,Nữ,25/12/1947,QN75046239310825,01/01/2025,31/12/2025,"Ngõ 12, Phường Dương Đông, Tỉnh Kiên Giang",0368429279
BN1090,Bùi Văn A,DT01,Nam,04/09/1973,GD32088798463526,01/01/2025,31/12/2025,"Ngõ 12, Phường Lê Lợi, TP Hà Nội",0970802610
BN1091,Hồ Xuân Bách,DT04,Nam,18/10/2016,,,,"Khu Phố 5, Phường Dương Đông, TP HCM",0393961697
BN1092,Hoàng Thanh Vân,DT01,Nữ,05/10/1955,CN90041205141803,01/01/2025,31/12/2025,"Đường 3/2, Phường Nguyễn Du, Tỉnh Đồng Nai",0320349603
BN1093,Bùi Văn A,DT01,Nam,27/08/1942,BT46018324127209,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0832765232
BN1094,Nguyễn Ngọc Ánh,DT01,Nữ,10/05/1999,CN24008744859888,24/08/2025,23/08/2026,"Ngõ 12, Phường Bến Nghé, TP Hà Nội",0981579095
BN1095,Hồ Thanh Vân,DT02,Nữ,29/03/2018,,,,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0964326311
BN1096,Trần Thanh Vân,DT01,Nữ,03/12/2009,QN13090107015017,01/01/2025,31/12/2025,"A2, Phường Lê Lợi, Tỉnh Kiên Giang",0797931846
BN1097,Trần Thu Thảo,DT01,Nữ,29/08/1988,CN20011676525552,01/01/2025,31/12/2025,"A2, Phường Lê Lợi, TP Đà Nẵng",0746308590
BN1098,Nguyễn Hoàng Nam,DT04,Nam,23/11/1984,,,,"Khu Phố 5, Phường Lê Lợi, TP Hà Nội",0386889696
BN1099,Đặng Lệ I,DT04,Nữ,07/02/2018,,,,"Số 10, Phường Bến Nghé, Tỉnh Hưng Yên",0878542963
BN1100,Hồ Ngọc Ánh,DT01,Nữ,27/01/1952,TE83007867884941,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, Tỉnh Hưng Yên",0953590117
BN1101,Đặng Kim F,DT01,Nữ,25/02/2013,TE15003375131926,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, Tỉnh Kiên Giang",0788157923
BN1102,Trần Văn A,DT01,Nam,07/05/2007,QN61039985019819,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, Tỉnh Đồng Nai",0744422837
BN1103,Đặng Thanh Dũng,DT01,Nam,12/08/1993,GD67028284919923,24/05/2025,23/05/2026,"Ngõ 12, Xã Hòa Bắc, TP Hà Nội",0959116835
BN1104,Trần Thanh Dũng,DT01,Nam,17/05/2011,TE66014770958893,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, Tỉnh Hưng Yên",0358096846
BN1105,Đặng Bảo Long,DT01,Nam,17/10/2018,TE92011457439907,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, TP HCM",0944146123
BN1106,Phạm Yến Vy,DT01,Nữ,04/02/1989,TE63035177588366,17/02/2025,16/02/2026,"Ngõ 12, Xã Hòa Bắc, TP Đà Nẵng",0979744808
BN1107,Hoàng Anh Tuấn,DT01,Nam,11/04/1977,QN13002814475429,18/04/2025,17/04/2026,"Số 10, Thị trấn Vĩnh An, TP HCM",0931810207
BN1108,Đặng Hoàng Nam,DT02,Nam,08/09/1970,,,,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0871240099
BN1109,Hồ Mỹ Linh,DT04,Nữ,22/06/1981,,,,"Đường 3/2, Xã Hòa Bắc, TP Hà Nội",0775334521
BN1110,Đặng Thị Bích C,DT01,Nữ,26/02/2001,GD64022685626462,01/01/2025,31/12/2025,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0945185119
BN1111,Bùi Quang Vinh,DT04,Nam,24/08/1945,,,,"Lô B4, Phường Bến Nghé, Tỉnh Kiên Giang",0840553163
BN1112,Nguyễn Thanh Vân,DT02,Nữ,02/07/1997,,,,"Số 10, Phường Nguyễn Du, TP Đà Nẵng",0989583416
BN1113,Nguyễn Thu Thảo,DT01,Nữ,04/07/1974,QN38065912870629,01/01/2025,31/12/2025,"Lô B4, Phường Lê Lợi, TP Hà Nội",0368810721
BN1114,Bùi Thu Thảo,DT04,Nữ,02/05/1984,,,,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Đồng Nai",0966588631
BN1115,Hồ Quang Vinh,DT01,Nam,31/05/2014,QN84013147799091,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, TP HCM",0844511849
BN1116,Hồ Ngọc Ánh,DT03,Nữ,19/12/2010,BT30026885760737,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, TP Hà Nội",0732079194
BN1117,Hồ Minh Hùng,DT01,Nam,30/10/2016,GD62056505781107,01/01/2025,31/12/2025,"Ngõ 12, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0315954634
BN1118,Lê Thanh Vân,DT01,Nữ,22/12/1963,TE88065381024645,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, Tỉnh Kiên Giang",0721093831
BN1119,Phạm Thu Thảo,DT02,Nữ,31/12/1960,,,,"Số 10, Phường Dương Đông, Tỉnh Hưng Yên",0873541621
BN1120,Phạm Gia Khang,DT04,Nam,26/08/1951,,,,"Ngõ 12, Phường Lê Lợi, Tỉnh Kiên Giang",0880353683
BN1121,Trần Mỹ Linh,DT04,Nữ,17/12/1975,,,,"A2, Phường Bến Nghé, TP Hà Nội",0710620418
BN1122,Hoàng Yến Vy,DT01,Nữ,02/05/1983,TE21086403967425,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, TP Hà Nội",0314014668
BN1123,Hồ Kim F,DT01,Nữ,13/11/1948,CN49037346269704,19/03/2025,18/03/2026,"Đường 3/2, Phường Bến Nghé, Tỉnh Kiên Giang",0975456053
BN1124,Đỗ Yến Vy,DT04,Nữ,10/01/2015,,,,"Đường 3/2, Xã Hòa Bắc, Tỉnh Hưng Yên",0352124745
BN1125,Bùi Mai Hương,DT01,Nữ,03/09/1989,BT03093768636048,01/01/2025,31/12/2025,"Số 10, Xã Hòa Bắc, Tỉnh Kiên Giang",0824270181
BN1126,Hồ Gia Khang,DT04,Nam,09/04/2003,,,,"Số 10, Phường Nguyễn Du, Tỉnh Đồng Nai",0875568601
BN1127,Trần Hoàng Nam,DT01,Nam,17/10/2014,GD70026694421222,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, Tỉnh Hưng Yên",0817294218
BN1128,Đặng Minh Hùng,DT02,Nam,11/10/1993,,,,"Đường 3/2, Phường Lê Lợi, Tỉnh Đồng Nai",0926124734
BN1129,Vũ Hoàng Nam,DT01,Nam,14/08/1996,BT30006889522603,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, TP HCM",0934494636
BN1130,Đặng Quang Vinh,DT01,Nam,13/08/1946,CN61084593748191,22/10/2025,21/10/2026,"Khu Phố 5, Phường Lê Lợi, Tỉnh Kiên Giang",0311699782
BN1131,Vũ Mỹ Linh,DT04,Nữ,17/06/2005,,,,"Ngõ 12, Phường Bến Nghé, Tỉnh Hưng Yên",0725477869
BN1132,Vũ Thu Thảo,DT01,Nữ,01/03/1971,CN95066265613511,20/11/2025,19/11/2026,"A2, Phường Nguyễn Du, Tỉnh Kiên Giang",0344971918
BN1133,Bùi Gia Khang,DT01,Nam,22/09/1997,QN35060786077502,05/09/2025,04/09/2026,"Số 10, Xã Hòa Bắc, Tỉnh Hưng Yên",0995227572
BN1134,Hồ Kim F,DT01,Nữ,28/01/2000,CN22073271798004,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, Tỉnh Đồng Nai",0717289537
BN1135,Lê Lệ I,DT04,Nữ,31/03/1947,,,,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Hưng Yên",0747379071
BN1136,Trần Xuân Bách,DT02,Nam,02/06/1984,,,,"Khu Phố 5, Phường Dương Đông, Tỉnh Hưng Yên",0781903681
BN1137,Vũ Ngọc Ánh,DT04,Nữ,07/03/2010,,,,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Hưng Yên",0395796459
BN1138,Hồ Thanh Vân,DT03,Nữ,22/05/1976,CN42016594692277,04/12/2025,03/12/2026,"Lô B4, Xã Hòa Bắc, Tỉnh Đồng Nai",0710714728
BN1139,Đặng Lệ I,DT01,Nữ,17/08/1991,GD33075783775233,01/01/2025,31/12/2025,"Lô B4, Thị trấn Vĩnh An, TP Hà Nội",0743321486
BN1140,Lê Bảo Long,DT01,Nam,26/01/1952,CN03019428083056,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, Tỉnh Hưng Yên",0895535907
BN1141,Trần Minh Hùng,DT03,Nam,12/03/1983,BT02009195084247,01/01/2025,31/12/2025,"Đường 3/2, Phường Dương Đông, Tỉnh Kiên Giang",0793291837
BN1142,Hoàng Mỹ Linh,DT01,Nữ,10/12/2004,TE43099166035320,15/05/2025,14/05/2026,"Số 10, Thị trấn Vĩnh An, TP HCM",0867199229
BN1143,Đặng Quang Vinh,DT04,Nam,07/02/1970,,,,"Ngõ 12, Thị trấn Vĩnh An, TP Đà Nẵng",0997675540
BN1144,Lê Thu Thảo,DT03,Nữ,22/05/1945,GD51041864795587,15/01/2025,14/01/2026,"Đường 3/2, Xã Hòa Bắc, TP HCM",0744036370
BN1145,Nguyễn Văn A,DT01,Nam,11/11/1976,QN19028331956900,03/08/2025,02/08/2026,"Số 10, Phường Lê Lợi, Tỉnh Hưng Yên",0970281467
BN1146,Bùi Mỹ Linh,DT04,Nữ,17/06/1972,,,,"Ngõ 12, Phường Lê Lợi, TP HCM",0361340911
BN1147,Bùi Thanh Vân,DT01,Nữ,05/08/2003,GD04055325794768,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, TP Hà Nội",0940250372
BN1148,Bùi Thu Thảo,DT03,Nữ,02/09/1953,QN28067583526765,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, Tỉnh Hưng Yên",0787602115
BN1149,Đỗ Gia Khang,DT01,Nam,11/09/2013,BT51048402792900,01/01/2025,31/12/2025,"Ngõ 12, Xã Hòa Bắc, Tỉnh Kiên Giang",0877880636
BN1150,Bùi Lệ I,DT01,Nữ,05/09/1991,BT41051196845589,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, Tỉnh Hưng Yên",0396253134
BN1151,Hồ Yến Vy,DT01,Nữ,27/06/2009,QN83005418576379,05/12/2025,04/12/2026,"Khu Phố 5, Phường Dương Đông, Tỉnh Kiên Giang",0953201040
BN1152,Nguyễn Quang Vinh,DT02,Nam,10/01/2006,,,,"Ngõ 12, Xã Hòa Bắc, Tỉnh Kiên Giang",0710596764
BN1153,Vũ Bảo Long,DT02,Nam,05/12/2014,,,,"Số 10, Phường Lê Lợi, TP HCM",0974522050
BN1154,Lê Yến Vy,DT01,Nữ,23/10/1962,TE10040897871675,01/01/2025,31/12/2025,"Số 10, Phường Lê Lợi, Tỉnh Kiên Giang",0346350351
BN1155,Đặng Gia Khang,DT01,Nam,01/03/1949,BT81096327331318,01/01/2025,31/12/2025,"Số 10, Xã Hòa Bắc, Tỉnh Hưng Yên",0933029218
BN1156,Bùi Mai Hương,DT01,Nữ,31/12/2004,CN51054705274441,01/01/2025,31/12/2025,"Ngõ 12, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0860710164
BN1157,Trần Kim F,DT04,Nữ,10/11/1950,,,,"Đường 3/2, Phường Lê Lợi, TP HCM",0825286881
BN1158,Nguyễn Mai Hương,DT01,Nữ,13/06/1996,BT02095959351111,15/07/2025,14/07/2026,"A2, Phường Bến Nghé, TP HCM",0964676815
BN1159,Nguyễn Thanh Vân,DT01,Nữ,04/04/1952,BT78010537737231,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, TP Hà Nội",0763060040
BN1160,Phạm Kim F,DT01,Nữ,30/07/2007,QN28010101444729,15/10/2025,14/10/2026,"A2, Xã Hòa Bắc, TP Hà Nội",0794768627
BN1161,Lê Thanh Dũng,DT02,Nam,07/05/1969,,,,"A2, Phường Dương Đông, Tỉnh Kiên Giang",0742255320
BN1162,Phạm Minh Hùng,DT01,Nam,30/03/1987,GD22003925243068,01/01/2025,31/12/2025,"Lô B4, Xã Hòa Bắc, Tỉnh Hưng Yên",0868797416
BN1163,Nguyễn Yến Vy,DT01,Nữ,22/11/1989,QN94078584863890,01/01/2025,31/12/2025,"A2, Phường Dương Đông, Tỉnh Đồng Nai",0810096347
BN1164,Phạm Anh Tuấn,DT02,Nam,16/08/1959,,,,"Khu Phố 5, Phường Bến Nghé, TP Hà Nội",0745733182
BN1165,Bùi Anh Tuấn,DT01,Nam,14/02/1998,TE08091819729370,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Đồng Nai",0372509629
BN1166,Hồ Quang Vinh,DT01,Nam,29/11/1981,CN09027488462548,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0353453618
BN1167,Trần Ngọc Ánh,DT01,Nữ,03/11/1995,CN85008401662373,01/01/2025,31/12/2025,"Đường 3/2, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0972377097
BN1168,Hoàng Văn A,DT01,Nam,26/02/1973,QN93033334416546,18/05/2025,17/05/2026,"Ngõ 12, Phường Nguyễn Du, Tỉnh Kiên Giang",0979109364
BN1169,Phạm Anh Tuấn,DT01,Nam,10/09/2005,BT46002873931572,01/01/2025,31/12/2025,"Ngõ 12, Phường Lê Lợi, Tỉnh Kiên Giang",0988630145
BN1170,Hồ Thanh Vân,DT02,Nữ,29/12/1967,,,,"Số 10, Phường Dương Đông, Tỉnh Hưng Yên",0828116328
BN1171,Lê Hoàng Nam,DT04,Nam,05/01/1990,,,,"Lô B4, Phường Nguyễn Du, Tỉnh Đồng Nai",0714186830
BN1172,Đặng Thanh Vân,DT01,Nữ,30/09/1948,QN81089761692145,13/10/2025,12/10/2026,"Số 10, Phường Lê Lợi, Tỉnh Kiên Giang",0393229230
BN1173,Nguyễn Minh Hùng,DT01,Nam,22/09/1976,GD29069403578787,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, Tỉnh Kiên Giang",0732952718
BN1174,Bùi Bảo Long,DT01,Nam,04/01/1986,BT81067132159797,28/02/2025,27/02/2026,"Đường 3/2, Phường Lê Lợi, Tỉnh Kiên Giang",0370495514
BN1175,Trần Yến Vy,DT02,Nữ,02/05/2011,,,,"Lô B4, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0993940106
BN1176,Phạm Yến Vy,DT04,Nữ,12/07/2016,,,,"Số 10, Phường Bến Nghé, Tỉnh Hưng Yên",0364359696
BN1177,Hoàng Minh Hùng,DT01,Nam,01/02/1970,CN93019657936479,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, Tỉnh Kiên Giang",0762861112
BN1178,Bùi Kim F,DT01,Nữ,29/11/2012,CN78019204990819,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, Tỉnh Đồng Nai",0319936818
BN1179,Bùi Văn A,DT02,Nam,25/08/2018,,,,"Lô B4, Thị trấn Vĩnh An, TP Đà Nẵng",0841142872
BN1180,Hồ Lệ I,DT01,Nữ,28/12/1963,GD53050327068771,01/01/2025,31/12/2025,"Lô B4, Phường Nguyễn Du, Tỉnh Kiên Giang",0936450735
BN1181,Nguyễn Mai Hương,DT04,Nữ,09/12/1963,,,,"Số 10, Phường Lê Lợi, TP Đà Nẵng",0877115947
BN1182,Đặng Kim F,DT01,Nữ,13/02/1976,CN81036787549988,08/05/2025,07/05/2026,"Đường 3/2, Xã Hòa Bắc, TP HCM",0870753237
BN1183,Vũ Thu Thảo,DT01,Nữ,02/03/2002,QN65021216823237,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, Tỉnh Hưng Yên",0860943289
BN1184,Bùi Mai Hương,DT04,Nữ,13/10/1997,,,,"Số 10, Phường Nguyễn Du, TP Đà Nẵng",0943331758
BN1185,Đặng Ngọc Ánh,DT01,Nữ,25/04/2006,GD41016759419150,13/04/2025,12/04/2026,"Lô B4, Phường Dương Đông, TP HCM",0374637942
BN1186,Phạm Quang Vinh,DT03,Nam,29/06/1958,QN88091589728259,24/01/2025,23/01/2026,"Số 10, Phường Dương Đông, TP Đà Nẵng",0787613852
BN1187,Hồ Anh Tuấn,DT01,Nam,29/01/1981,BT85029414059956,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, TP HCM",0962076793
BN1188,Hồ Hoàng Nam,DT03,Nam,24/10/2016,BT66081701597106,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, Tỉnh Đồng Nai",0875960042
BN1189,Bùi Gia Khang,DT01,Nam,23/07/1972,QN86060240960409,01/11/2025,31/10/2026,"Đường 3/2, Phường Lê Lợi, TP HCM",0942241288
BN1190,Phạm Mỹ Linh,DT01,Nữ,03/05/1986,CN08063320100237,09/10/2025,08/10/2026,"Lô B4, Xã Hòa Bắc, TP Đà Nẵng",0810975445
BN1191,Lê Thu Thảo,DT01,Nữ,23/12/1991,TE43011895184782,01/01/2025,31/12/2025,"A2, Phường Nguyễn Du, Tỉnh Đồng Nai",0782548976
BN1192,Nguyễn Kim F,DT03,Nữ,14/09/2001,GD05031695330843,06/06/2025,05/06/2026,"Khu Phố 5, Phường Dương Đông, Tỉnh Kiên Giang",0733898044
BN1193,Đỗ Hoàng Nam,DT04,Nam,17/05/1954,,,,"Lô B4, Phường Bến Nghé, TP Hà Nội",0738581544
BN1194,Bùi Lệ I,DT01,Nữ,31/05/1980,GD63017332306096,01/01/2025,31/12/2025,"Ngõ 12, Xã Hòa Bắc, Tỉnh Kiên Giang",0986580324
BN1195,Hồ Bảo Long,DT02,Nam,05/05/1992,,,,"Đường 3/2, Phường Nguyễn Du, Tỉnh Kiên Giang",0733681030
BN1196,Đỗ Quang Vinh,DT04,Nam,02/10/1997,,,,"Ngõ 12, Thị trấn Vĩnh An, TP HCM",0790854126
BN1197,Phạm Kim F,DT01,Nữ,31/12/1951,TE05038683250299,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Đồng Nai",0912479288
BN1198,Trần Anh Tuấn,DT01,Nam,25/11/2016,GD28071511377399,01/01/2025,31/12/2025,"Lô B4, Xã Hòa Bắc, TP Hà Nội",0954095954
BN1199,Đỗ Hoàng Nam,DT01,Nam,09/01/1960,GD18072366721018,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, Tỉnh Đồng Nai",0962588080
BN1200,Bùi Gia Khang,DT01,Nam,26/12/1992,BT69029137029112,24/04/2025,23/04/2026,"Lô B4, Phường Dương Đông, TP Đà Nẵng",0910188507
BN1201,Hồ Bảo Long,DT03,Nam,25/12/2001,TE06052483449893,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, TP Hà Nội",0874575362
BN1202,Hoàng Gia Khang,DT01,Nam,01/01/1983,QN17075325461041,01/01/2025,31/12/2025,"Lô B4, Phường Nguyễn Du, TP HCM",0889335309
BN1203,Lê Anh Tuấn,DT01,Nam,15/01/1954,QN98033518743955,01/01/2025,31/12/2025,"Lô B4, Thị trấn Vĩnh An, TP Đà Nẵng",0745484624
BN1204,Phạm Ngọc Ánh,DT01,Nữ,23/10/1982,BT07011621514488,27/05/2025,26/05/2026,"Số 10, Thị trấn Vĩnh An, TP Hà Nội",0910927791
BN1205,Đặng Văn A,DT02,Nam,01/06/2000,,,,"Khu Phố 5, Phường Bến Nghé, Tỉnh Kiên Giang",0714320863
BN1206,Nguyễn Gia Khang,DT01,Nam,09/07/2017,QN71042841584517,01/01/2025,31/12/2025,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0819174840
BN1207,Đặng Gia Khang,DT01,Nam,05/03/1958,QN88005496428523,19/02/2025,18/02/2026,"A2, Phường Dương Đông, TP Hà Nội",0886308778
BN1208,Lê Quang Vinh,DT01,Nam,13/05/1982,CN48046532575176,17/07/2025,16/07/2026,"Ngõ 12, Phường Dương Đông, Tỉnh Hưng Yên",0713268258
BN1209,Hồ Anh Tuấn,DT01,Nam,26/05/1988,QN82052281384958,10/07/2025,09/07/2026,"Ngõ 12, Xã Hòa Bắc, Tỉnh Đồng Nai",0716267670
BN1210,Đỗ Ngọc Ánh,DT01,Nữ,10/10/1962,TE52095713916656,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, TP HCM",0335278634
BN1211,Lê Minh Hùng,DT01,Nam,28/04/1982,QN18088917329761,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, TP Đà Nẵng",0820935633
